25,2000-08-27T08:44:29,98.52,1
29,2000-04-13T15:05:34,97.9,1
34,2000-03-29T19:16:50,91.19,1
55,2000-04-07T08:44:14,92.17,1
57,2000-12-17T19:29:09,98.5,1
65,2000-04-10T05:53:56,99.04,1
72,2000-12-13T02:04:52,91.19,1
74,2000-11-16T23:15:17,99.58,1
81,2000-07-28T16:51:49,94.93,1
88,2000-04-07T19:52:16,90.97,1
89,2000-09-28T19:29:21,99.39,1
116,2000-01-23T20:00:57,90.28,1
117,2000-04-29T05:58:35,92.46,1
133,2000-03-22T02:54,94.98,1
142,2000-10-22T12:55:09,97.23,1
144,2000-12-09T04:10:48,95.71,1
145,2000-12-18T06:34:40,95.39,1
151,2000-10-22T18:34:43,91.7,1
156,2000-08-13T08:50:34,98.48,1
184,2000-11-30T00:57:25,90.96,1
203,2000-02-07T13:22:14,95.7,1
211,2000-04-29T20:00:02,91.29,1
218,2000-01-22T13:35:18,97.58,1
248,2000-03-09T19:08:06,93.68,1
251,2000-08-30T18:39:53,90.91,1
254,2000-12-16T02:42:27,97.58,1
262,2000-08-06T03:51:23,92.3,1
266,2000-09-02T14:23:10,99.52,1
270,2000-11-28T12:04:52,99.31,1
283,2000-07-02T21:35:33,98.04,1
314,2000-07-02T01:37:19,96.67,1
318,2000-04-27T23:15:04,93.06,1
322,2000-09-10T19:54:10,96.14,1
340,2000-09-17T00:52:10,93.25,1
353,2000-01-04T20:21:24,99.8,1
390,2000-11-24T09:04:21,90.85,1
397,2000-07-06T03:53:07,92.74,1
429,2000-08-12T11:30:49,94.42,1
431,2000-02-13T14:09:15,94.73,1
439,2000-10-15T13:11:11,96.46,1
443,2000-10-24T02:20:44,96.47,1
454,2000-02-07T03:26:23,97.51,1
455,2000-07-27T06:41:06,92.73,1
465,2000-10-08T17:31:37,98.86,1
480,2000-08-24T15:56:58,91.47,1
485,2000-01-08T02:35:56,91.56,1
487,2000-09-14T02:31:15,96.3,1
497,2000-07-06T01:29:24,99.88,1
511,2000-12-26T09:13:28,98.32,1
537,2000-07-05T13:43:43,92.18,1
555,2000-01-17T02:37:01,90.17,1
576,2000-08-11T23:28:07,95.96,1
577,2000-12-15T09:59:18,90.73,1
580,2000-05-13T23:07:44,98.11,1
583,2000-08-13T08:55:48,92.94,1
592,2000-04-16T16:27:13,96.35,1
602,2000-05-25T07:09:09,99.81,1
603,2000-10-17T19:00:55,98.86,1
650,2000-02-01T22:09:23,91.72,1
667,2000-11-29T08:03:25,93.93,1
668,2000-12-15T10:55:49,96.85,1
669,2000-12-20T06:09:54,94.69,1
674,2000-04-25T07:04:28,96.66,1
692,2000-01-02T02:28:31,95.48,1
693,2000-10-06T08:08:56,96.16,1
715,2000-08-16T01:37:15,96.7,1
716,2000-12-16T18:14:18,90.33,1
727,2000-11-01T17:30:09,92.46,1
734,2000-05-09T08:44:55,97.44,1
743,2000-07-05T04:21:21,94.33,1
751,2000-05-11T17:44:25,94.67,1
754,2000-05-24T11:12:49,92.76,1
760,2000-09-03T03:31:25,93.96,1
773,2000-12-14T10:32:12,91.64,1
776,2000-08-27T08:10:03,97.85,1
800,2000-03-01T14:38:41,96.25,1
815,2000-03-18T22:34:19,90.17,1
817,2000-07-28T02:04:36,95.74,1
825,2000-04-15T01:16:46,90.0,1
832,2000-06-01T08:54:17,94.37,1
838,2000-06-07T10:19:38,96.24,1
840,2000-10-13T20:12:43,93.92,1
